                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1096,                 4.6813,                 3.7136,                 3.9861,                0.51594,                0.13961,                0.01366,                 0.0032,                0.51542,                0.13203,                0.02571,                0.00643,                 3.4955,                  32.08,                 42.072,                 6.4922,             0.00055244,             0.00055244,             0.00055244
                      2,                 2.9287,                 3.7783,                 3.5163,                 3.6105,                0.53483,                0.09091,                0.02046,                0.00543,                0.54576,                0.07792,                 0.0421,                0.01067,                 2.9781,                 9.2644,                 6.8892,                 3.7484,              0.0010862,              0.0010862,              0.0010862
                      3,                 2.7449,                 3.6128,                 3.3257,                 3.2701,                0.06683,                0.17749,                0.04554,                0.01528,                0.04848,                0.14827,                0.03204,                0.00854,                 2.5775,                 5.6604,                 3.4172,                 3.3753,              0.0015979,              0.0015979,              0.0015979
                      4,                 2.6018,                 3.3941,                 3.2208,                 3.0952,                0.60403,                0.13853,                0.06698,                0.02325,                0.63564,                0.10918,                0.05417,                0.02179,                 2.6409,                 21.432,                 3.3402,                 3.4821,               0.001568,               0.001568,               0.001568
                      5,                 2.4762,                 3.2919,                 3.0528,                 2.9362,                0.70769,                0.10498,                0.12327,                0.05111,                0.72268,                 0.1039,                0.11033,                 0.0416,                 2.2638,                 4.1629,                 3.3115,                 2.9756,               0.001568,               0.001568,               0.001568
                      6,                 2.3399,                 3.2277,                 2.9086,                 2.7796,                0.65516,                 0.1829,                0.17603,                0.03933,                0.55627,                0.06061,                0.02929,                 0.0083,                 2.2891,                 4.2492,                 2.9281,                 2.9406,               0.001535,               0.001535,               0.001535
                      7,                 2.2289,                 3.0399,                 2.7172,                 2.6532,                0.58712,                0.16991,                0.05528,                0.02078,                0.56176,                0.12338,                0.03015,                0.01146,                 2.1427,                 3.5525,                 3.0915,                 2.8129,               0.001502,               0.001502,               0.001502
                      8,                 2.0652,                 2.8683,                 2.5687,                  2.489,                0.57338,                0.09307,                0.04611,                0.02077,                0.53569,                0.09091,                0.02493,                0.00841,                 2.0213,                 3.3581,                 2.9753,                 2.6847,               0.001469,               0.001469,               0.001469
                      9,                 2.0042,                 2.7424,                 2.4407,                 2.4069,                0.72526,                0.22619,                0.16366,                0.07995,                0.70841,                0.19697,                0.12529,                0.04783,                 1.9425,                 3.1363,                 2.4614,                 2.6159,               0.001436,               0.001436,               0.001436
                     10,                  1.908,                 2.6575,                 2.3351,                 2.2892,                0.70501,                0.21286,                0.16948,                0.07303,                0.65558,                0.17991,                0.11317,                0.03994,                 2.0054,                 3.0226,                 2.6054,                 2.5688,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.8722,                 2.6408,                 2.2749,                 2.2285,                0.71355,                0.20171,                0.18933,                0.08972,                 0.7028,                0.19156,                0.17287,                0.06573,                 1.9609,                 2.8319,                 2.4472,                 2.5646,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.7656,                 2.5276,                 2.1549,                 2.1466,                0.75687,                0.22186,                0.23031,                0.12691,                0.76774,                0.20835,                0.21809,                0.12565,                 1.7755,                  2.432,                 2.3561,                 2.3373,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.7283,                 2.4063,                  2.076,                 2.0812,                0.77519,                0.20666,                0.21778,                0.12222,                0.74893,                0.19048,                0.18669,                0.10012,                 1.7295,                 2.5501,                 2.3297,                 2.2572,              0.0013039,              0.0013039,              0.0013039
                     14,                  1.725,                 2.3927,                 2.0403,                 2.0718,                0.83637,                0.24026,                0.25739,                0.14983,                0.82595,                0.23105,                0.24188,                0.13562,                 1.6699,                 2.3834,                 2.0341,                 2.2223,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.6279,                 2.3507,                 1.9704,                 1.9718,                0.84415,                0.25216,                0.27321,                 0.1621,                0.81354,                0.24242,                0.24689,                0.12544,                 1.6341,                 2.3803,                 2.0776,                 2.1341,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.6061,                 2.3363,                 1.9022,                 1.9385,                0.80148,                0.28247,                0.29541,                0.18546,                0.79829,                0.27814,                0.29415,                0.17985,                 1.5182,                 2.0181,                 2.0476,                 2.0734,              0.0012049,              0.0012049,              0.0012049
